Year,Month,Day,Hour,Minute,Tamb,Azimuth,Cloudopacity,DewPoint,DHI,DNI,EBH,GHI,Pw,SnowDepth,Pressure,WindDir,WindVel,AlbedoDaily,Zenith
2019,1,1,0,0,-6.4,-28,0.0,-7.6,0,0,0,0,0.41,1.4,896.3,108,1.3,0.32,161
2019,1,1,1,0,-5.0,-58,15.9,-6.5,0,0,0,0,0.41,1.4,896.4,99,1.5,0.32,153
2019,1,1,2,0,-5.1,-75,52.8,-6.7,0,0,0,0,0.42,1.4,896.3,92,1.7,0.32,143
2019,1,1,3,0,-6.7,-87,57.9,-8.1,0,0,0,0,0.42,1.4,896.1,88,1.9,0.32,131
2019,1,1,4,0,-8.2,-96,51.2,-9.4,0,0,0,0,0.42,1.4,895.8,85,2.2,0.32,120
2019,1,1,5,0,-9.0,-105,60.5,-10.1,0,0,0,0,0.44,1.4,895.7,84,2.4,0.32,108
2019,1,1,6,0,-9.0,-114,68.2,-10.1,0,0,0,0,0.46,1.4,895.7,84,2.4,0.32,98
2019,1,1,7,0,-9.1,-123,57.3,-10.1,16,0,0,16,0.49,1.4,895.7,85,2.5,0.32,88
2019,1,1,8,0,-8.4,-134,46.1,-9.6,80,26,7,87,0.53,1.4,895.5,86,2.5,0.32,79
2019,1,1,9,0,-7.1,-146,2.4,-8.8,104,584,192,295,0.58,1.4,895.1,90,2.4,0.32,71
2019,1,1,10,0,-5.8,-160,22.1,-7.9,159,378,150,309,0.63,1.4,894.7,93,2.3,0.32,66
2019,1,1,11,0,-4.6,-175,55.6,-7.2,197,1,1,198,0.71,1.3,894.3,95,2.3,0.32,63
2019,1,1,12,0,-3.5,170,41.9,-6.6,186,151,64,250,0.81,1.3,893.7,95,2.2,0.32,64
2019,1,1,13,0,-2.4,155,51.1,-6.1,137,115,48,185,0.9,1.2,893.2,96,2.2,0.32,67
2019,1,1,14,0,-2.1,142,63.9,-5.8,91,0,0,91,0.96,1.2,892.8,97,2.2,0.32,73
2019,1,1,15,0,-2.6,131,51.4,-5.7,55,0,0,55,0.98,1.2,892.6,98,2.1,0.32,81
2019,1,1,16,0,-3.2,120,73.1,-5.6,3,0,0,3,1.0,1.2,892.4,100,2.0,0.32,90
2019,1,1,17,0,-3.4,111,75.6,-5.5,0,0,0,0,1.01,1.2,892.1,104,1.9,0.32,101
2019,1,1,18,0,-3.5,102,74.7,-5.5,0,0,0,0,1.02,1.2,891.8,110,1.9,0.32,112
2019,1,1,19,0,-3.5,94,65.9,-5.4,0,0,0,0,1.03,1.3,891.5,116,1.9,0.32,123
2019,1,1,20,0,-3.5,84,79.6,-5.4,0,0,0,0,1.04,1.3,891.1,123,1.9,0.32,135
